DateTime	Temperature	41.67 days	29.17 days	20.83 days	15.42 days	12.50 days	10.42 days	8.33 days	7.08 days	5.83 days	4.58 days	3.75 days	3.00 days	2.42 days	1.88 days	1.50 days	1.21 days	1.00 days	0.79 days	0.67 days	0.54 days	0.46 days	0.33 days	0.25 days	0.17 days	0.13 days
2019-01-1T00:02	4.43	0.5699	-0.0422	-0.1627	0.0108	0.3759	0.9207	1.6687	2.0755	2.2757	2.1062	1.7581	1.3395	0.9869	0.66	0.5553	0.6449	0.7304	0.6536	0.4055	-0.1073	-0.6315	-1.6412	-2.1976	-2.372	-3.0004
2019-01-1T01:44	4.43	0.5374	-0.0986	-0.251	-0.1074	0.2322	0.7568	1.4859	1.8781	2.0549	1.8487	1.462	0.9745	0.5159	-0.0088	-0.4058	-0.7306	-1.0783	-1.6966	-2.2567	-2.8985	-3.2497	-3.2515	-2.5466	-0.9279	-0.0884
2019-01-1T03:26	4.24	0.505	-0.1548	-0.3391	-0.2259	0.087	0.5893	1.2961	1.6719	1.8243	1.5831	1.1614	0.6113	0.0594	-0.6323	-1.2833	-1.9435	-2.5532	-3.2635	-3.6006	-3.5729	-3.1305	-1.5865	-0.3288	0.1805	0.1631
2019-01-1T05:08	3.68	0.4726	-0.2109	-0.4272	-0.3445	-0.0593	0.4186	1.1001	1.4577	1.5853	1.312	0.861	0.2597	-0.3632	-1.1629	-1.9662	-2.7783	-3.3781	-3.7077	-3.5007	-2.7476	-1.946	-0.7893	-0.4722	-0.3356	-0.2329
2019-01-1T06:50	3.68	0.4403	-0.2668	-0.5151	-0.4631	-0.2067	0.245	0.8984	1.2364	1.3393	1.0381	0.5652	-0.0717	-0.7353	-1.5645	-2.3782	-3.12	-3.4715	-3.2231	-2.5737	-1.6026	-0.984	-0.4927	-0.3645	-0.2109	-0.1328
2019-01-1T08:32	4.11	0.408	-0.3226	-0.6028	-0.5816	-0.3548	0.0689	0.6915	1.0088	1.0879	0.7638	0.2781	-0.3751	-1.0446	-1.8171	-2.4914	-2.9708	-2.9622	-2.265	-1.5035	-0.739	-0.3809	-0.0565	0.0964	0.1436	0.1077
2019-01-1T10:14	4.18	0.3757	-0.3781	-0.6902	-0.6998	-0.5035	-0.1093	0.4802	0.7759	0.8324	0.4915	0.0032	-0.6447	-1.2833	-1.9186	-2.3281	-2.4314	-2.0927	-1.2455	-0.6522	-0.2293	-0.0754	0.0439	0.0525	0.0031	-0.0317
2019-01-1T11:56	4.24	0.3435	-0.4334	-0.7773	-0.8177	-0.6525	-0.2893	0.265	0.5386	0.5744	0.2234	-0.2562	-0.8759	-1.4485	-1.8837	-1.9522	-1.6605	-1.1133	-0.3879	-0.0723	0.0523	0.0517	-0.0268	-0.0809	-0.0647	-0.0268
2019-01-1T13:39	4.49	0.3111	-0.4889	-0.8649	-0.9363	-0.8031	-0.4725	0.0445	0.2956	0.3127	-0.041	-0.4999	-1.0682	-1.5427	-1.7384	-1.449	-0.8214	-0.2067	0.2585	0.3234	0.2513	0.1756	0.0786	0.0459	0.0322	0.0342
2019-01-1T15:21	4.68	0.279	-0.5437	-0.9512	-1.0532	-0.9519	-0.6549	-0.1764	0.0525	0.0537	-0.2948	-0.7214	-1.217	-1.5699	-1.5217	-0.9258	-0.0801	0.4953	0.7052	0.6105	0.4318	0.3182	0.2109	0.1593	0.0809	0.0446
